Date,Count
11/7/2014,755
11/8/2014,714
11/9/2014,666
11/10/2014,757
11/11/2014,648
11/12/2014,578
11/13/2014,631
11/14/2014,715
11/15/2014,720
11/16/2014,646
11/17/2014,605
11/18/2014,609
11/19/2014,617
11/20/2014,609
11/21/2014,701
11/22/2014,706
11/23/2014,658
11/24/2014,566
11/25/2014,639
11/26/2014,659
11/27/2014,443
11/28/2014,584
11/29/2014,672
11/30/2014,702
12/1/2014,738
12/2/2014,632
12/3/2014,726
12/4/2014,675
12/5/2014,763
12/6/2014,635
12/7/2014,563
12/8/2014,688
12/9/2014,631
12/10/2014,710
12/11/2014,621
12/12/2014,703
12/13/2014,739
12/14/2014,680
12/15/2014,707
12/16/2014,635
12/17/2014,717
12/18/2014,646
12/19/2014,745
12/20/2014,693
12/21/2014,624
12/22/2014,626
12/23/2014,650
12/24/2014,559
12/25/2014,432
12/26/2014,607
12/27/2014,689
12/28/2014,608
12/29/2014,666
12/30/2014,554
12/31/2014,560
1/1/2015,971
1/2/2015,652
1/3/2015,636
1/4/2015,498
1/5/2015,510
1/6/2015,496
1/7/2015,467
1/8/2015,437
1/9/2015,580
1/10/2015,628
1/11/2015,627
1/12/2015,602
1/13/2015,605
1/14/2015,668
1/15/2015,745
1/16/2015,693
1/17/2015,724
1/18/2015,676
1/19/2015,705
1/20/2015,786
1/21/2015,735
1/22/2015,744
1/23/2015,791
1/24/2015,732
1/25/2015,630
1/26/2015,651
1/27/2015,667
1/28/2015,638
1/29/2015,692
1/30/2015,705
1/31/2015,618
2/1/2015,508
2/2/2015,464
2/3/2015,505
2/4/2015,573
2/5/2015,567
2/6/2015,688
2/7/2015,668
2/8/2015,598
2/9/2015,605
2/10/2015,624
2/11/2015,600
2/12/2015,598
2/13/2015,621
2/14/2015,580
2/15/2015,534
2/16/2015,531
2/17/2015,591
2/18/2015,503
2/19/2015,460
2/20/2015,638
2/21/2015,635
2/22/2015,568
2/23/2015,569
2/24/2015,621
2/25/2015,563
2/26/2015,511
2/27/2015,627
2/28/2015,530
3/1/2015,706
3/2/2015,653
3/3/2015,629
3/4/2015,555
3/5/2015,607
3/6/2015,701
3/7/2015,679
3/8/2015,614
3/9/2015,718
3/10/2015,737
3/11/2015,734
3/12/2015,738
3/13/2015,799
3/14/2015,773
3/15/2015,751
3/16/2015,773
3/17/2015,686
3/18/2015,682
3/19/2015,709
3/20/2015,765
3/21/2015,675
3/22/2015,631
3/23/2015,590
3/24/2015,629
3/25/2015,714
3/26/2015,676
3/27/2015,710
3/28/2015,642
3/29/2015,595
3/30/2015,711
3/31/2015,689
4/1/2015,869
4/2/2015,786
4/3/2015,699
4/4/2015,676
4/5/2015,653
4/6/2015,672
4/7/2015,599
4/8/2015,673
4/9/2015,638
4/10/2015,702
4/11/2015,714
4/12/2015,769
4/13/2015,730
4/14/2015,764
4/15/2015,786
4/16/2015,681
4/17/2015,783
4/18/2015,764
4/19/2015,699
4/20/2015,740
4/21/2015,656
4/22/2015,679
4/23/2015,726
4/24/2015,754
4/25/2015,694
4/26/2015,713
4/27/2015,715
4/28/2015,714
4/29/2015,759
4/30/2015,661
5/1/2015,897
5/2/2015,678
5/3/2015,743
5/4/2015,773
5/5/2015,689
5/6/2015,730
5/7/2015,811
5/8/2015,798
5/9/2015,679
5/10/2015,737
5/11/2015,733
5/12/2015,746
5/13/2015,758
5/14/2015,747
5/15/2015,807
5/16/2015,863
5/17/2015,818
5/18/2015,749
5/19/2015,704
5/20/2015,721
5/21/2015,736
5/22/2015,808
5/23/2015,782
5/24/2015,673
5/25/2015,702
5/26/2015,762
5/27/2015,731
5/28/2015,790
5/29/2015,817
5/30/2015,711
5/31/2015,663
6/1/2015,888
6/2/2015,766
6/3/2015,772
6/4/2015,718
6/5/2015,780
6/6/2015,752
6/7/2015,729
6/8/2015,675
6/9/2015,729
6/10/2015,780
6/11/2015,786
6/12/2015,823
6/13/2015,808
6/14/2015,791
6/15/2015,726
6/16/2015,843
6/17/2015,718
6/18/2015,762
6/19/2015,771
6/20/2015,765
6/21/2015,781
6/22/2015,775
6/23/2015,724
6/24/2015,726
6/25/2015,780
6/26/2015,771
6/27/2015,717
6/28/2015,795
6/29/2015,743
6/30/2015,736
7/1/2015,827
7/2/2015,742
7/3/2015,767
7/4/2015,835
7/5/2015,895
7/6/2015,749
7/7/2015,694
7/8/2015,705
7/9/2015,665
7/10/2015,729
7/11/2015,792
7/12/2015,795
7/13/2015,775
7/14/2015,702
7/15/2015,770
7/16/2015,664
7/17/2015,818
7/18/2015,771
7/19/2015,756
7/20/2015,777
7/21/2015,769
7/22/2015,761
7/23/2015,801
7/24/2015,861
7/25/2015,823
7/26/2015,799
7/27/2015,826
7/28/2015,760
7/29/2015,758
7/30/2015,762
7/31/2015,768
8/1/2015,976
8/2/2015,817
8/3/2015,724
8/4/2015,753
8/5/2015,762
8/6/2015,799
8/7/2015,822
8/8/2015,842
8/9/2015,743
8/10/2015,802
8/11/2015,780
8/12/2015,751
8/13/2015,778
8/14/2015,796
8/15/2015,813
8/16/2015,860
8/17/2015,732
8/18/2015,754
8/19/2015,784
8/20/2015,806
8/21/2015,846
8/22/2015,841
8/23/2015,802
8/24/2015,723
8/25/2015,759
8/26/2015,780
8/27/2015,755
8/28/2015,794
8/29/2015,752
8/30/2015,792
8/31/2015,736
9/1/2015,882
9/2/2015,788
9/3/2015,864
9/4/2015,806
9/5/2015,756
9/6/2015,809
9/7/2015,801
9/8/2015,711
9/9/2015,704
9/10/2015,651
9/11/2015,675
9/12/2015,716
9/13/2015,729
9/14/2015,784
9/15/2015,788
9/16/2015,757
9/17/2015,708
9/18/2015,771
9/19/2015,779
9/20/2015,800
9/21/2015,727
9/22/2015,760
9/23/2015,818
9/24/2015,701
9/25/2015,793
9/26/2015,784
9/27/2015,794
9/28/2015,746
9/29/2015,655
9/30/2015,661
10/1/2015,809
10/2/2015,777
10/3/2015,702
10/4/2015,646
10/5/2015,741
10/6/2015,739
10/7/2015,711
10/8/2015,691
10/9/2015,773
10/10/2015,720
10/11/2015,735
10/12/2015,723
10/13/2015,730
10/14/2015,749
10/15/2015,788
10/16/2015,721
10/17/2015,699
10/18/2015,668
10/19/2015,780
10/20/2015,764
10/21/2015,777
10/22/2015,758
10/23/2015,759
10/24/2015,749
10/25/2015,717
10/26/2015,777
10/27/2015,639
10/28/2015,672
10/29/2015,660
10/30/2015,755
10/31/2015,711
11/1/2015,925
11/2/2015,771
11/3/2015,735
11/4/2015,770
11/5/2015,730
11/6/2015,726
11/7/2015,681
11/8/2015,699
11/9/2015,673
11/10/2015,627
11/11/2015,665
11/12/2015,678
11/13/2015,660
11/14/2015,688
11/15/2015,704
11/16/2015,733
11/17/2015,656
11/18/2015,671
11/19/2015,683
11/20/2015,695
11/21/2015,519
11/22/2015,506
11/23/2015,646
11/24/2015,598
11/25/2015,615
11/26/2015,584
11/27/2015,607
11/28/2015,653
11/29/2015,607
11/30/2015,655
12/1/2015,719
12/2/2015,696
12/3/2015,692
12/4/2015,680
12/5/2015,694
12/6/2015,675
12/7/2015,681
12/8/2015,709
12/9/2015,676
12/10/2015,675
12/11/2015,716
12/12/2015,727
12/13/2015,640
12/14/2015,727
12/15/2015,757
12/16/2015,697
12/17/2015,701
12/18/2015,626
12/19/2015,643
12/20/2015,667
12/21/2015,641
12/22/2015,670
12/23/2015,736
12/24/2015,661
12/25/2015,487
12/26/2015,615
12/27/2015,604
12/28/2015,503
12/29/2015,595
12/30/2015,590
12/31/2015,591
